URL_Length,Dots_Count,Suspicious_TLD,Hyphen_Count,Subdir_Count,Domain_Length,IP_Present,Double_Slash_Count,URL_Shortening_Service,Count_SubDomain (Domain_Tokens),Count_Queries,Count_At_Symbol,Presence of %20,digit/letter,special_characters
45.0,2.0,0.0,1.0,1.0,37.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08571428571428572,1.0
63.0,2.0,0.0,0.0,5.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
22.0,2.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,2.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23.0,2.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23.0,2.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
31.0,2.0,0.0,0.0,1.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
240.0,12.0,0.0,0.0,5.0,14.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.32666666666666666,6.0
26.0,2.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43.0,2.0,0.0,0.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
35.0,2.0,0.0,0.0,2.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2727272727272727,2.0
21.0,3.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,2.0,0.0,1.0,0.0,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105.0,3.0,0.0,1.0,5.0,16.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.06097560975609756,7.0
64.0,1.0,0.0,1.0,5.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,6.0
20.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71.0,3.0,0.0,1.0,3.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.37209302325581395,6.0
60.0,5.0,0.0,0.0,4.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23684210526315788,8.0
28.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46.0,2.0,0.0,0.0,3.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3103448275862069,3.0
19.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,2.0,0.0,0.0,1.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.17647058823529413,2.0
20.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
78.0,3.0,0.0,1.0,3.0,30.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.5454545454545454,3.0
