url, no of iframe tags,no of hidden elements,no. script elements,presence of meta refresh tags,no of object tag,no of urls,presence of double documents,label
http://www.moviem.co.uk/,0,0,11,False,0,32,0,0
http://www.moviem.co.uk/,0,0,11,False,0,32,0,0
http://www.moviem.co.uk/,0,0,11,False,0,32,0,0
ttp://www.irisa.fr/Gowachin/,0,0,0,False,0,25,0,0
http://182.16.30.221/ap/signin?openid.pape.max_auth_age=0&amp;amp;openid.return_to=https%3A%2F%2Fwww.amazon.co.jp%2F%3Fref_%3Dnav_em_hd_re_signin&amp;amp;openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;amp;openid.assoc_handle=jpflex&amp;amp;openid.mode=checkid_setup&amp;amp;key=a@b.c&amp;amp;openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;amp;openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&amp;amp;&amp;amp;ref_=nav_em_hd_clc_signin,0,0,7,False,0,11,0,1
http://portal.acm.org/,0,0,0,0,0,0,0,0
http://www.moviem.co.uk/,0,0,11,False,0,32,0,0
http://myidsignwithid.from-al.com/TEL/31d847131e74facb3cf99b64461f4010/,0,0,0,0,0,0,0,1
https://whatsapp.blazagency.com/99e665748bd5bf84e697ae5e154f1baa,0,0,0,0,0,0,0,1
http://kontoopdatering.appleld.dk.opdatering.dspbrand.com/hku/8f332eb3ef9d5a7b140bb57cfc8cd645/,0,0,0,0,0,0,0,1
http://www.robotshop.com/blog/en/robots/gorobotics,0,0,0,0,0,0,0,0
https://forwarding.xj419.cn/,0,0,0,0,0,0,0,1
http://jscgiftshop.com/onedrive365/assets/,0,0,0,0,0,0,0,1
https://fb39856-page78346-real-estate-item91234.house/,0,0,0,0,0,0,0,1
https://royalmail.delivery-ref954.com,0,0,0,0,0,0,0,1
http://www.neosports.tv/,0,0,0,0,0,0,0,0
http://www.baudelairesoaps.com/,0,0,27,False,0,157,0,0
http://www.cs.kent.ac.uk/people/staff/rej/gc.html,0,0,0,False,0,6,0,0
http://martincastaneda.htmlplanet.com/,0,0,4,False,0,11,0,0
http://www.bloomsbythebox.com/,0,0,0,0,0,0,0,0
http://www.careerexposure.com/,0,0,2,False,0,38,0,0
http://scienceworld.wolfram.com/physics/,0,0,1,False,0,13,0,0
https://www.amazon-check-co-jp.v6f.top/,0,0,0,0,0,0,0,1
http://tsb.co.uk-manageaccount.com/,0,0,0,0,0,0,0,1
http://www.mcm.edu/academic/galileo/ars/arshtml/arstoc.html,0,0,0,0,0,0,0,0
http://www.coolbrew.com/,0,0,39,False,0,97,0,0
https://prosecmalta.com/wp_kontent/mime.php,0,0,0,0,0,0,0,1
http://www.ticalc.org/archives/files/fileinfo/4/452.html,0,0,5,False,0,27,0,0
http://www.ddinews.gov.in/,13,0,17,False,0,144,0,0
http://www.123football.com/clubs/england/manchester-city/index.htm,0,0,0,0,0,0,0,0
http://www.sotprelifemils.tonohost.com/,0,0,0,0,0,0,0,1
http://www.network18online.com/,0,0,53,False,0,0,0,0
http://www.taotealeaf.com/,0,0,41,False,0,180,0,0
http://vhfdricjycjeeyqzurpkbesdjs-dot-gle39404049.rj.r.appspot.com/,0,0,1,False,0,0,0,1
http://www.wedcrafts.com/,0,0,5,True,0,24,0,0
http://www.rosettis.com/,0,0,8,False,0,5,0,0
http://www.jmilne.org/math/,0,0,0,False,0,57,0,0
http://tecnicsupportdsd.tonohost.com/Inicio.html,0,0,0,0,0,0,0,1
http://l-lists.com/en/lists/lv2azk.html,0,0,15,False,0,32,0,0
https://connectwellsfargosecure.duckdns.org/auth/signin/dashboard/session/signin.php?error=&amp;appIdKey=T61387uB9cG4QxKPyhWLIwUYam&amp;country=US,0,0,0,0,0,0,0,1
https://verify-successful.com/Login.php,0,0,0,0,0,0,0,1
http://www.subodhbrothers.com/,0,0,42,False,0,108,0,0
https://raydcameroon.org/PRO/Netflix/87zrazsazr4a9raz/,0,0,0,0,0,0,0,1
http://www.technical-resumes.com/,0,0,0,0,0,0,0,0
http://www.cmr-catering-equipment.co.uk/,0,0,0,0,0,0,0,0
https://royalmail-payee.com/,0,0,0,0,0,0,0,1
http://www.ltisports.com/,0,0,0,0,0,0,0,0
http://www.leicester.vitalfootball.co.uk/,0,0,0,0,0,0,0,0
http://www.asiaasset.com/,1,0,39,False,0,74,0,0
http://www.isamayy.com/oro/,0,0,0,0,0,0,0,1
http://www.choicefranchiseadvisors.com/auto/CountinAutoPage/index.php,0,0,0,0,0,0,0,1
https://plpg.com.au/access/wells/wells.htm,0,0,7,False,0,19,0,1
https://www.mijnargentabe.com/,0,0,0,0,0,0,0,1
https://confirm-security-payee-review.net/,0,0,0,0,0,0,0,1
http://octonions-sedenions.tripod.com/,1,0,7,False,0,12,0,0
https://greatestvashikaranspecialist.in/blog/newsubscribed/8d9a6e908ed2b731fb96151d9bb94d49/,0,0,0,0,0,0,0,1
http://www.thebestcoffee.com/,0,0,32,False,0,91,1,0
https://vodafone.bill-repayment.com/,0,0,0,0,0,0,0,1
https://detectpayeenotices.com/lloyds/Login.php,0,0,0,0,0,0,0,1
https://orange-mail279.yolasite.com/,0,0,0,0,0,0,0,1
http://180.215.2.167/ap/signin?key=a@b.c,0,0,0,0,0,0,0,1
http://www.lastmanstands.com/,0,0,0,0,0,0,0,0
http://help-site.com/,0,0,0,0,0,0,0,0
https://reactiva-bcponlineperu.cob-suap.com/,0,0,0,0,0,0,0,1
https://allegro-pl-7e2a33.ingress-daribow.easywp.com/logownie/form/login.php?origin_url=/,0,0,0,0,0,0,0,1
https://sukoon-e-dil.org/thebo/PageUpdated/ampt.html?app=@glendon.yorku.ca&amp;subdomain=http://glendon.yorku.ca,0,0,0,0,0,0,0,1
http://www.emergingfromconflict.org/,0,0,4,False,0,4,0,0
http://www.sportingcollectibles.com/,0,0,0,0,0,0,0,0
http://www.naturist-fiction.com/,0,0,1,False,0,53,0,0
https://www.hsbc.cancel-web-payment.com/Login.php,0,0,0,0,0,0,0,1
http://www.qtww.com/,3,0,34,False,0,92,0,0
http://deshgujarat.com/,1,0,25,False,0,189,0,0
http://www.rheinreport.com/,0,0,10,False,0,38,0,0
http://www.ottolina.it/,0,0,79,False,0,73,0,0
http://pitagora.dm.uniba.it/~testset/,0,0,20,False,0,34,0,0
http://www.marketwire.com/,0,0,8,False,0,14,0,0
http://serviciocourrio.moonfruit.com/,0,0,0,0,0,0,0,1
http://www.karunagems.com/,1,0,47,False,0,55,1,0
